name,latitude,longitude,type,curriculum,rating,tuition,focus,facilities,student_teacher_ratio,test_scores
"St Andrew's High School, Karachi",24.8210675,67.0698301,Private,O/A Levels,4.4,397892,STEM,"Arts Room, Music Studio",15,86
British Overseas School,24.8210692,67.0712432,Private,IB,4.1,245582,STEM,All Modern Facilities,12,98
High Rise Academy Karachi,24.8367934,67.0736738,Private,O/A Levels,5,465919,STEM,All Modern Facilities,14,93
Pingu English School,24.8318498,67.0721635,Private,O/A Levels,4.4,357873,STEM,All Modern Facilities,19,94
BRITISH SCHOOL OF KARACHI,24.8328332,67.0458954,Private,IB,4.1,333452,Arts,All Modern Facilities,14,99
DHA Montessori 2,24.8239461,67.0613345,Private,Kindergarten,4.4,200911,Sports,"Library, Labs, Sports Ground",12,88
ABSA School,24.833917,67.0711682,Private,O/A Levels,4,316339,Sports,"Library, Labs, Sports Ground",17,84
The Mark School Main Campus - Best School in Karachi,24.9280505,67.0986309,Private,IB,4.4,463864,Sports,"Arts Room, Music Studio",13,98
The Crawford Cambridge School,24.8322635,67.0692264,Private,O/A Levels,4.9,233278,Sports,All Modern Facilities,15,81
Al-Abbas Secondary School,24.8223845,67.0818669,Private,Kindergarten,4.5,418361,Arts,"Arts Room, Music Studio",16,99
Seaview Academy,24.8272075,67.0420239,Private,IB,4.1,219049,General,All Modern Facilities,10,87
Inspire School of Advanced Studies,24.8305339,67.0746045,Private,Kindergarten,4.9,295494,STEM,"Library, Labs, Sports Ground",10,88
Rise and shine School,24.8232918,67.0844415,Private,O/A Levels,4.4,336463,Arts,"Library, Labs, Sports Ground",13,89
Gulistan Shah Abdul Latif School Karachi,24.8616876,67.0552091,Private,IB,4.8,483850,STEM,All Modern Facilities,19,91
Paras Model Secondary School,24.84079,67.0739218,Private,O/A Levels,4.8,339327,Arts,"Arts Room, Music Studio",12,96
The Cedar School - LS Campus,24.8259522,67.0396961,Private,O/A Levels,4.2,398126,General,"Library, Labs, Sports Ground",10,97
New Generation's School,24.8558191,67.0686861,Private,IB,5,219566,Sports,"Arts Room, Music Studio",17,88
Karachi Film School,24.8322788,67.0679035,Private,O/A Levels,4.7,350320,STEM,"Arts Room, Music Studio",13,99
"British International School, Karachi",24.8315183,67.0315601,Private,IB,4.6,336741,STEM,All Modern Facilities,19,99
Bay View High School,24.8425055,67.0368791,Private,IB,4.5,393005,STEM,"Library, Labs, Sports Ground",17,82
Hyderi Public School,24.854546,67.0234675,Private,IB,4.5,401557,General,"Library, Labs, Sports Ground",12,90
Clifton Oxbridge School Karachi,24.828154,67.0333442,Private,O/A Levels,4.1,378232,STEM,All Modern Facilities,19,99
The International School,24.8180668,67.0229209,Private,IB,4.4,417977,STEM,"Arts Room, Music Studio",10,88
Jenning's Private School,24.8449375,67.0363125,Private,IB,4.5,212306,STEM,All Modern Facilities,16,87
Trinity Methodist High School,24.8534574,67.0302625,Private,O/A Levels,4.8,249986,Sports,"Library, Labs, Sports Ground",11,93
International School of Karachi,24.8143962,67.0077692,Private,O/A Levels,4.9,490645,STEM,All Modern Facilities,15,93
St. Paul's High School,24.8602618,67.0361754,Private,O/A Levels,4.2,494390,STEM,"Arts Room, Music Studio",16,88
World Learning Grammar School,24.8530625,66.9954375,Private,IB,4.7,403688,General,All Modern Facilities,16,97
The City School International - Karachi,24.8098363,67.0336096,Private,O/A Levels,4.1,266774,STEM,"Arts Room, Music Studio",16,93
Guard Public School,24.8682733,67.0260836,Private,O/A Levels,4.2,328799,General,All Modern Facilities,17,94
St. Joseph's Convent School,24.8608861,67.0357126,Private,IB,4.5,257970,Sports,"Library, Labs, Sports Ground",19,94
Habib Public School,24.8420253,67.0206016,Private,O/A Levels,4.8,343941,Sports,All Modern Facilities,11,85
The Karachi Generation School,24.8697751,67.0526229,Private,Kindergarten,4.2,219747,Sports,"Arts Room, Music Studio",13,91
The Ivy School,24.818358,67.0315191,Private,O/A Levels,4.5,413089,STEM,All Modern Facilities,17,83
FG Public School Karachi Cantt,24.847894,67.0412541,Private,Kindergarten,4.6,290301,STEM,All Modern Facilities,17,97
The Smart School Qayyumabad Campus,24.8237725,67.0863504,Private,IB,4.8,325738,STEM,"Library, Labs, Sports Ground",15,87
The Clifton City School,24.8305207,67.0431307,Private,O/A Levels,4.1,434353,Arts,"Library, Labs, Sports Ground",17,83
International School of Studies,24.8682687,67.0734495,Private,O/A Levels,4.8,426905,Sports,"Arts Room, Music Studio",12,99
The Lyceum,24.8186532,67.0341888,Private,Kindergarten,4.1,436869,General,"Library, Labs, Sports Ground",13,98
Karachi Cadet School,24.8611961,67.0581074,Private,O/A Levels,4.6,208643,STEM,"Library, Labs, Sports Ground",16,96
Z International School,24.8816273,67.0685993,Government,Matriculation,3.3,170745,STEM,Limited Facilities,31,73
